,season,episode_number,title,airdate,rating,total_votes,desc
0,1,1,Ambush,3 Oct 2008,7.3,"4,616","Yoda, along with three clone troopers, must face off against Asajj Ventress and her droid army while on a mission to a moon of Rugosa.    "
1,1,2,Rising Malevolence,3 Oct 2008,7.3,"4,091","General Grievous uses his latest weapon, the Malevolence, to destroy Plo Koon's fleet. Stuck in an escape pod with three clone troopers, Koon fends off more battle droids while Anakin and Ahsoka mount a rescue mission.    "
2,1,3,Shadow of Malevolence,10 Oct 2008,7.3,"3,825","The Malevolence has been revealed to the Republic. Anakin and Shadow Squad, accompanied by Ahsoka and Master Koon, launch an attack in their new long-range Y-wing bombers.    "
3,1,4,Destroy Malevolence,17 Oct 2008,7.4,"3,714",Padmé Amidala and C-3PO are taken hostage by Grievous aboard the Malevolence. Anakin and Obi-Wan board the ship to rescue the senator and her protocol droid.    
4,1,5,Rookies,24 Oct 2008,7.8,"4,015","Alone on a distant outpost, Commander Cody and Captain Rex must inspire the rookie clones to believe in themselves to stave off a commando droid invasion.    "
5,1,6,Downfall of a Droid,7 Nov 2008,6.6,"3,456",Anakin must find the missing R2-D2 before the Separatists discover the Jedi military secrets locked in his memory banks.    
6,1,7,Duel of the Droids,14 Nov 2008,7.2,"3,420","Anakin, Ahsoka and replacement droid R3-S6 embark on a dual rescue/sabotage mission when they discover R2-D2 is being held at General Grievous' secret enemy listening post.    "
7,1,8,Bombad Jedi,21 Nov 2008,6.1,"3,508","Padmé travels to Rodia to meet with old family friend Onaconda Farr about the lack of food rations. Unfortunately Farr has just made a deal with the Separatists. Padmé is imprisoned, leaving it up to Jar Jar Binks and C-3PO to rescue her.    "
8,1,9,Cloak of Darkness,5 Dec 2008,7.9,"3,531","Ahsoka and Master Luminara escort captured Nute Gunray to trial, unaware that Count Dooku has dispatched his deadly apprentice Asajj Ventress to free the prisoner and eliminate the Jedi.    "
9,1,10,Lair of Grievous,12 Dec 2008,8.1,"3,624",General Grievous must prove himself worthy of the Separatists when Count Dooku leads Kit Fisto and his former Padawan to Grievous' villainous enclave.    
10,1,11,Dooku Captured,2 Jan 2009,7.3,"3,220","During their own attempt to kidnap Count Dooku, Anakin and Obi-Wan discover that the Sith Lord has already been captured by pirates.    "
11,1,12,The Gungan General,9 Jan 2009,7.0,"3,143","While negotiating Count Dooku's ransom, Anakin and Obi-Wan are taken prisoner. The Jedi and Sith form an unlikely alliance in a bid to escape, with Jar Jar Binks as their only hope.    "
